image,method,bpp,feature_extract_s,fuzzy_infer_s,embed_s,extract_s,total_s,peak_memory_kb
1018.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003715,0.003828,0.007543,1763.7
1018.pgm,Adaptive,0.2,0.055751,0.073235,0.005298,0.005722,0.140006,160324.0
1019.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003632,0.003390,0.007022,1768.1
1019.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003487,0.003888,0.007375,1763.7
1019.pgm,Adaptive,0.2,0.067659,0.062542,0.005426,0.006541,0.142167,160323.0
102.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003812,0.003426,0.007238,1768.1
102.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003713,0.003565,0.007278,1763.7
102.pgm,Adaptive,0.2,0.057747,0.067444,0.005391,0.006013,0.136596,160323.0
1020.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.004473,0.003642,0.008115,1768.1
1020.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003936,0.004105,0.008041,1763.7
1020.pgm,Adaptive,0.2,0.062626,0.063934,0.006693,0.007371,0.140624,160323.0
1021.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003673,0.003932,0.007605,1768.1
1021.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003933,0.003692,0.007625,1763.7
1021.pgm,Adaptive,0.2,0.068236,0.063136,0.005732,0.007314,0.144418,160323.0
1022.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003532,0.003521,0.007053,1768.1
1022.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003717,0.003778,0.007495,1763.7
1022.pgm,Adaptive,0.2,0.058389,0.059102,0.005528,0.005743,0.128761,160323.0
1023.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.003714,0.003854,0.007569,1768.1
1023.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.003946,0.003697,0.007644,1763.7
1023.pgm,Adaptive,0.2,0.058062,0.062058,0.005199,0.005800,0.131120,160323.0
