image,method,bpp,feature_extract_s,fuzzy_infer_s,embed_s,extract_s,total_s,peak_memory_kb
smooth_00017.png,Adaptive,0.2,0.114559,0.120353,0.010159,0.011308,0.256379,160322.9
smooth_00018.png,Fixed-LSB-1,0.2,0.0,0.0,0.006446,0.009381,0.015828,1768.1
smooth_00018.png,Fixed-LSB-2,0.2,0.0,0.0,0.006339,0.008260,0.014599,1763.7
smooth_00018.png,Adaptive,0.2,0.092107,0.120449,0.008407,0.011030,0.231993,160322.9
smooth_00019.png,Fixed-LSB-1,0.2,0.0,0.0,0.006594,0.009066,0.015660,1768.1
smooth_00019.png,Fixed-LSB-2,0.2,0.0,0.0,0.006671,0.009535,0.016206,1763.7
smooth_00019.png,Adaptive,0.2,0.108328,0.102349,0.010645,0.011613,0.232935,160322.9
smooth_00020.png,Fixed-LSB-1,0.2,0.0,0.0,0.010076,0.008281,0.018357,1768.1
smooth_00020.png,Fixed-LSB-2,0.2,0.0,0.0,0.011005,0.010747,0.021752,1763.7
smooth_00020.png,Adaptive,0.2,0.118687,0.131500,0.013399,0.010363,0.273951,160322.9
smooth_00021.png,Fixed-LSB-1,0.2,0.0,0.0,0.007656,0.012352,0.020008,1768.1
smooth_00021.png,Fixed-LSB-2,0.2,0.0,0.0,0.012093,0.007571,0.019664,1763.7
smooth_00021.png,Adaptive,0.2,0.097690,0.100231,0.010265,0.009076,0.217262,160322.9
smooth_00022.png,Fixed-LSB-1,0.2,0.0,0.0,0.006543,0.006090,0.012633,1768.1
smooth_00022.png,Fixed-LSB-2,0.2,0.0,0.0,0.008674,0.006440,0.015114,1763.7
smooth_00022.png,Adaptive,0.2,0.095228,0.139061,0.010644,0.011506,0.256439,160322.9
smooth_00023.png,Fixed-LSB-1,0.2,0.0,0.0,0.006559,0.009139,0.015698,1768.1
smooth_00023.png,Fixed-LSB-2,0.2,0.0,0.0,0.006233,0.009734,0.015967,1763.7
smooth_00023.png,Adaptive,0.2,0.103102,0.099071,0.011162,0.010009,0.223344,160322.9
smooth_00024.png,Fixed-LSB-1,0.2,0.0,0.0,0.006322,0.008067,0.014389,1768.1
smooth_00024.png,Fixed-LSB-2,0.2,0.0,0.0,0.006778,0.006168,0.012946,1763.7
smooth_00024.png,Adaptive,0.2,0.113151,0.106073,0.008904,0.012176,0.240305,160323.0
smooth_00025.png,Fixed-LSB-1,0.2,0.0,0.0,0.010778,0.007681,0.018459,1768.1
smooth_00025.png,Fixed-LSB-2,0.2,0.0,0.0,0.010414,0.007504,0.017917,1763.7
smooth_00025.png,Adaptive,0.2,0.097374,0.096241,0.010834,0.010095,0.214544,160323.0
smooth_00026.png,Fixed-LSB-1,0.2,0.0,0.0,0.006891,0.008365,0.015256,1768.1
smooth_00026.png,Fixed-LSB-2,0.2,0.0,0.0,0.006236,0.007969,0.014205,1763.7
smooth_00026.png,Adaptive,0.2,0.091737,0.111995,0.007919,0.011717,0.223368,160323.0
smooth_00027.png,Fixed-LSB-1,0.2,0.0,0.0,0.008074,0.006850,0.014924,1768.1
smooth_00027.png,Fixed-LSB-2,0.2,0.0,0.0,0.009511,0.006446,0.015957,1763.7
smooth_00027.png,Adaptive,0.2,0.098316,0.097514,0.012437,0.009660,0.217926,160323.0
smooth_00028.png,Fixed-LSB-1,0.2,0.0,0.0,0.006826,0.008670,0.015496,1768.1
smooth_00028.png,Fixed-LSB-2,0.2,0.0,0.0,0.006403,0.012689,0.019092,1763.7
smooth_00028.png,Adaptive,0.2,0.104138,0.094739,0.009802,0.009482,0.218160,160323.0
smooth_00029.png,Fixed-LSB-1,0.2,0.0,0.0,0.008793,0.006583,0.015376,1768.1
smooth_00029.png,Fixed-LSB-2,0.2,0.0,0.0,0.009931,0.006471,0.016402,1763.7
smooth_00029.png,Adaptive,0.2,0.095909,0.091683,0.008936,0.011521,0.208049,160323.0
smooth_00030.png,Fixed-LSB-1,0.2,0.0,0.0,0.007372,0.005484,0.012855,1768.1
smooth_00030.png,Fixed-LSB-2,0.2,0.0,0.0,0.005633,0.008034,0.013667,1763.7
smooth_00030.png,Adaptive,0.2,0.106191,0.101887,0.011239,0.011760,0.231077,160323.0
smooth_00031.png,Fixed-LSB-1,0.2,0.0,0.0,0.006751,0.008790,0.015541,1768.1
smooth_00031.png,Fixed-LSB-2,0.2,0.0,0.0,0.006618,0.008905,0.015523,1763.7
smooth_00031.png,Adaptive,0.2,0.107846,0.098778,0.015105,0.017253,0.238981,160323.0
smooth_00032.png,Fixed-LSB-1,0.2,0.0,0.0,0.006692,0.006157,0.012849,1768.1
smooth_00032.png,Fixed-LSB-2,0.2,0.0,0.0,0.010529,0.010738,0.021267,1763.7
smooth_00032.png,Adaptive,0.2,0.093884,0.095810,0.010844,0.009171,0.209710,160323.0
smooth_00033.png,Fixed-LSB-1,0.2,0.0,0.0,0.006340,0.008059,0.014399,1768.1
smooth_00033.png,Fixed-LSB-2,0.2,0.0,0.0,0.006541,0.006097,0.012638,1763.7
smooth_00033.png,Adaptive,0.2,0.089184,0.098620,0.007328,0.009609,0.204740,160323.0
smooth_00034.png,Fixed-LSB-1,0.2,0.0,0.0,0.006093,0.008998,0.015090,1768.1
smooth_00034.png,Fixed-LSB-2,0.2,0.0,0.0,0.005819,0.008891,0.014709,1763.7
smooth_00034.png,Adaptive,0.2,0.102029,0.099144,0.010760,0.009106,0.221039,160323.0
smooth_00035.png,Fixed-LSB-1,0.2,0.0,0.0,0.008775,0.008252,0.017027,1768.1
smooth_00035.png,Fixed-LSB-2,0.2,0.0,0.0,0.009596,0.006828,0.016424,1763.7
