image,method,bpp,payload_bytes,embed_time_s,extract_time_s,extraction_verified,mse,psnr,ssim,kl_divergence,distortion_per_bit,rs_estimated_rate,rs_detected,chi2_embedding_prob,chi2_detected,spa_estimated_rate,spa_detected,mean_depth,depth_std
smooth_00001.png,Adaptive,0.4,1146,0.012337,0.016073,True,0.023478,64.4242,0.999655,0.00001211,0.0000025609,0.101535,True,1.000000,True,0.157445,True,1.0225,0.1484
smooth_00002.png,Fixed-LSB-1,0.05,280,0.009101,0.005524,True,0.005895,70.4260,0.999913,0.00000265,0.0000026317,0.062948,True,1.000000,True,0.142984,True,,
smooth_00002.png,Fixed-LSB-1,0.1,567,0.009795,0.006034,True,0.011759,67.4269,0.999827,0.00000466,0.0000025925,0.082514,True,1.000000,True,0.145741,True,,
smooth_00002.png,Fixed-LSB-1,0.2,1141,0.007727,0.010819,True,0.023432,64.4326,0.999655,0.00000645,0.0000025671,0.120025,True,1.000000,True,0.150674,True,,
smooth_00002.png,Fixed-LSB-1,0.3,1714,0.016170,0.011562,True,0.034963,62.6947,0.999486,0.00001303,0.0000025498,0.154713,True,1.000000,True,0.155637,True,,
smooth_00002.png,Fixed-LSB-1,0.4,2287,0.005693,0.010179,True,0.046692,61.4384,0.999314,0.00002205,0.0000025520,0.193180,True,1.000000,True,0.161458,True,,
smooth_00002.png,Fixed-LSB-2,0.05,280,0.020481,0.007602,True,0.015579,66.2053,0.999772,0.00000269,0.0000069550,0.049093,False,1.000000,True,0.140441,True,,
smooth_00002.png,Fixed-LSB-2,0.1,567,0.016364,0.015028,True,0.030853,63.2378,0.999548,0.00000505,0.0000068019,0.058236,True,1.000000,True,0.140809,True,,
smooth_00002.png,Fixed-LSB-2,0.2,1141,0.006064,0.012317,True,0.059952,60.3528,0.999121,0.00001966,0.0000065679,0.065126,True,1.000000,True,0.141360,True,,
smooth_00002.png,Fixed-LSB-2,0.3,1714,0.007292,0.010091,True,0.088455,58.6636,0.998703,0.00003623,0.0000064509,0.065977,True,1.000000,True,0.143107,True,,
smooth_00002.png,Fixed-LSB-2,0.4,2287,0.007518,0.018441,True,0.117650,57.4249,0.998276,0.00004784,0.0000064304,0.076923,True,1.000000,True,0.144455,True,,
smooth_00002.png,Adaptive,0.05,143,0.011401,0.009797,True,0.003148,73.1499,0.999954,0.00000114,0.0000027521,0.047678,False,1.000000,True,0.141667,True,1.0353,0.1844
smooth_00002.png,Adaptive,0.1,286,0.007288,0.008804,True,0.006002,70.3480,0.999912,0.00000152,0.0000026232,0.060780,True,1.000000,True,0.142647,True,1.0353,0.1844
smooth_00002.png,Adaptive,0.2,573,0.019129,0.013627,True,0.011785,67.4176,0.999827,0.00000372,0.0000025709,0.065900,True,1.000000,True,0.144363,True,1.0353,0.1844
smooth_00002.png,Adaptive,0.3,859,0.015162,0.015219,True,0.017492,65.7025,0.999743,0.00000581,0.0000025454,0.089044,True,1.000000,True,0.147273,True,1.0353,0.1844
smooth_00002.png,Adaptive,0.4,1146,0.013372,0.010870,True,0.023463,64.4270,0.999655,0.00000946,0.0000025592,0.107215,True,1.000000,True,0.149877,True,1.0353,0.1844
smooth_00003.png,Fixed-LSB-1,0.05,280,0.012100,0.011080,True,0.006007,70.3443,0.999912,0.00000233,0.0000026816,0.015222,False,1.000000,True,0.147763,True,,
smooth_00003.png,Fixed-LSB-1,0.1,567,0.015028,0.012467,True,0.011775,67.4213,0.999827,0.00000531,0.0000025958,0.035553,False,1.000000,True,0.151134,True,,
smooth_00003.png,Fixed-LSB-1,0.2,1141,0.009020,0.006955,True,0.023519,64.4166,0.999654,0.00000829,0.0000025766,0.070274,True,1.000000,True,0.157537,True,,
smooth_00003.png,Fixed-LSB-1,0.3,1714,0.008035,0.006458,True,0.035182,62.6676,0.999483,0.00001416,0.0000025658,0.089189,True,1.000000,True,0.162469,True,,
smooth_00003.png,Fixed-LSB-1,0.4,2287,0.014149,0.016899,True,0.046946,61.4148,0.999310,0.00002693,0.0000025659,0.118907,True,1.000000,True,0.169026,True,,
smooth_00003.png,Fixed-LSB-2,0.05,280,0.005537,0.011527,True,0.014603,66.4865,0.999786,0.00000272,0.0000065190,0.002806,False,1.000000,True,0.145404,True,,
smooth_00003.png,Fixed-LSB-2,0.1,567,0.011175,0.010868,True,0.028966,63.5119,0.999575,0.00000569,0.0000063859,0.003589,False,1.000000,True,0.145067,True,,
smooth_00003.png,Fixed-LSB-2,0.2,1141,0.010106,0.007521,True,0.058492,60.4598,0.999143,0.00001176,0.0000064080,0.012662,False,1.000000,True,0.146017,True,,
smooth_00003.png,Fixed-LSB-2,0.3,1714,0.007002,0.007003,True,0.086594,58.7559,0.998732,0.00002162,0.0000063152,0.022674,False,1.000000,True,0.147518,True,,
smooth_00003.png,Fixed-LSB-2,0.4,2287,0.012838,0.012624,True,0.115463,57.5064,0.998309,0.00003388,0.0000063108,0.029998,False,1.000000,True,0.149479,True,,
smooth_00003.png,Adaptive,0.05,143,0.006420,0.009018,True,0.003011,73.3436,0.999956,0.00000141,0.0000026321,0.002645,False,1.000000,True,0.145925,True,1.0214,0.1447
smooth_00003.png,Adaptive,0.1,286,0.008426,0.010180,True,0.005920,70.4073,0.999913,0.00000234,0.0000025876,0.017429,False,1.000000,True,0.148131,True,1.0214,0.1447
smooth_00003.png,Adaptive,0.2,573,0.016058,0.015100,True,0.011597,67.4875,0.999830,0.00000370,0.0000025298,0.036945,False,1.000000,True,0.150797,True,1.0214,0.1447
smooth_00003.png,Adaptive,0.3,859,0.009830,0.009002,True,0.017502,65.7000,0.999743,0.00000602,0.0000025468,0.049431,False,1.000000,True,0.152941,True,1.0214,0.1447
smooth_00003.png,Adaptive,0.4,1146,0.011872,0.014124,True,0.023392,64.4402,0.999656,0.00000736,0.0000025515,0.068331,True,1.000000,True,0.156342,True,1.0214,0.1447
smooth_00004.png,Fixed-LSB-1,0.05,280,0.011791,0.006625,True,0.005793,70.5016,0.999915,0.00000209,0.0000025863,0.500000,True,1.000000,True,0.135907,True,,
smooth_00004.png,Fixed-LSB-1,0.1,567,0.008871,0.013813,True,0.011531,67.5123,0.999830,0.00000341,0.0000025420,0.500000,True,1.000000,True,0.137500,True,,
smooth_00004.png,Fixed-LSB-1,0.2,1141,0.009491,0.008339,True,0.023204,64.4753,0.999658,0.00000720,0.0000025420,0.023300,False,1.000000,True,0.141115,True,,
smooth_00004.png,Fixed-LSB-1,0.3,1714,0.008579,0.006017,True,0.035019,62.6878,0.999485,0.00002052,0.0000025539,0.053611,True,1.000000,True,0.144700,True,,
smooth_00004.png,Fixed-LSB-1,0.4,2287,0.007828,0.007189,True,0.046458,61.4602,0.999317,0.00004049,0.0000025392,0.082534,True,1.000000,True,0.148009,True,,
smooth_00004.png,Fixed-LSB-2,0.05,280,0.005099,0.004876,True,0.014404,66.5459,0.999788,0.00000357,0.0000064305,0.500000,True,1.000000,True,0.134252,True,,
smooth_00004.png,Fixed-LSB-2,0.1,567,0.008715,0.006160,True,0.028834,63.5318,0.999577,0.00001031,0.0000063567,0.500000,True,1.000000,True,0.134620,True,,
smooth_00004.png,Fixed-LSB-2,0.2,1141,0.011852,0.009100,True,0.057627,60.5245,0.999154,0.00003375,0.0000063133,0.500000,True,1.000000,True,0.135355,True,,
smooth_00004.png,Fixed-LSB-2,0.3,1714,0.006204,0.006038,True,0.086171,58.7772,0.998735,0.00004944,0.0000062844,0.500000,True,1.000000,True,0.135754,True,,
smooth_00004.png,Fixed-LSB-2,0.4,2287,0.006086,0.005708,True,0.115911,57.4896,0.998299,0.00008614,0.0000063353,0.500000,True,1.000000,True,0.135999,True,,
smooth_00004.png,Adaptive,0.05,143,0.011412,0.010882,True,0.003103,73.2135,0.999954,0.00000063,0.0000027121,0.500000,True,1.000000,True,0.134069,True,1.0212,0.1442
smooth_00004.png,Adaptive,0.1,286,0.007583,0.007194,True,0.005900,70.4222,0.999913,0.00000135,0.0000025787,0.500000,True,1.000000,True,0.135233,True,1.0212,0.1442
smooth_00004.png,Adaptive,0.2,573,0.007374,0.016500,True,0.011668,67.4609,0.999828,0.00000237,0.0000025454,0.500000,True,1.000000,True,0.136428,True,1.0212,0.1442
smooth_00004.png,Adaptive,0.3,859,0.013153,0.017325,True,0.017487,65.7038,0.999743,0.00000455,0.0000025446,0.007896,False,1.000000,True,0.138511,True,1.0212,0.1442
smooth_00004.png,Adaptive,0.4,1146,0.010078,0.010708,True,0.023285,64.4601,0.999658,0.00000620,0.0000025398,0.018475,False,1.000000,True,0.139461,True,1.0212,0.1442
smooth_00005.png,Fixed-LSB-1,0.05,280,0.007282,0.008863,True,0.005966,70.3738,0.999912,0.00000154,0.0000026635,0.030332,False,1.000000,True,0.141759,True,,
smooth_00005.png,Fixed-LSB-1,0.1,567,0.007261,0.006733,True,0.011810,67.4082,0.999827,0.00000444,0.0000026037,0.043533,False,1.000000,True,0.143260,True,,
smooth_00005.png,Fixed-LSB-1,0.2,1141,0.007831,0.006559,True,0.023697,64.3839,0.999652,0.00001113,0.0000025961,0.085750,True,1.000000,True,0.148315,True,,
smooth_00005.png,Fixed-LSB-1,0.3,1714,0.006117,0.006137,True,0.035482,62.6308,0.999479,0.00002316,0.0000025876,0.119862,True,1.000000,True,0.151685,True,,
smooth_00005.png,Fixed-LSB-1,0.4,2287,0.008786,0.006379,True,0.047068,61.4035,0.999309,0.00003952,0.0000025726,0.155528,True,1.000000,True,0.156097,True,,
smooth_00005.png,Fixed-LSB-2,0.05,280,0.006963,0.005616,True,0.014109,66.6358,0.999793,0.00000096,0.0000062988,0.016703,False,1.000000,True,0.139154,True,,
smooth_00005.png,Fixed-LSB-2,0.1,567,0.006127,0.004656,True,0.030024,63.3561,0.999560,0.00000393,0.0000066191,0.010251,False,1.000000,True,0.139124,True,,
smooth_00005.png,Fixed-LSB-2,0.2,1141,0.004834,0.005676,True,0.059082,60.4162,0.999134,0.00001041,0.0000064726,0.021640,False,1.000000,True,0.139032,True,,
smooth_00005.png,Fixed-LSB-2,0.3,1714,0.006211,0.005402,True,0.088679,58.6526,0.998701,0.00002054,0.0000064673,0.017649,False,1.000000,True,0.138542,True,,
smooth_00005.png,Fixed-LSB-2,0.4,2287,0.007818,0.006063,True,0.117620,57.4260,0.998277,0.00003548,0.0000064287,0.021424,False,1.000000,True,0.138572,True,,
smooth_00005.png,Adaptive,0.05,143,0.017046,0.013985,True,0.003072,73.2564,0.999955,0.00000097,0.0000026854,0.030675,False,1.000000,True,0.140564,True,1.0345,0.1825
smooth_00005.png,Adaptive,0.1,286,0.011733,0.010465,True,0.005900,70.4222,0.999913,0.00000191,0.0000025787,0.037748,False,1.000000,True,0.141360,True,1.0345,0.1825
smooth_00005.png,Adaptive,0.2,573,0.006592,0.012229,True,0.011678,67.4571,0.999829,0.00000366,0.0000025476,0.050480,True,1.000000,True,0.142371,True,1.0345,0.1825
smooth_00005.png,Adaptive,0.3,859,0.007706,0.010424,True,0.017344,65.7393,0.999745,0.00000705,0.0000025239,0.060207,True,1.000000,True,0.143199,True,1.0345,0.1825
smooth_00005.png,Adaptive,0.4,1146,0.008214,0.010701,True,0.023168,64.4819,0.999660,0.00001106,0.0000025270,0.080726,True,1.000000,True,0.145895,True,1.0345,0.1825
smooth_00006.png,Fixed-LSB-1,0.05,280,0.007335,0.006644,True,0.005824,70.4788,0.999914,0.00000175,0.0000025999,0.009425,False,1.000000,True,0.131281,True,,
smooth_00006.png,Fixed-LSB-1,0.1,567,0.007708,0.005350,True,0.011388,67.5663,0.999833,0.00000327,0.0000025106,0.026510,False,1.000000,True,0.133701,True,,
smooth_00006.png,Fixed-LSB-1,0.2,1141,0.005777,0.006983,True,0.023229,64.4705,0.999659,0.00000482,0.0000025448,0.053279,True,1.000000,True,0.139767,True,,
smooth_00006.png,Fixed-LSB-1,0.3,1714,0.007459,0.005524,True,0.034887,62.7042,0.999488,0.00001598,0.0000025442,0.092777,True,1.000000,True,0.146201,True,,
smooth_00006.png,Fixed-LSB-1,0.4,2287,0.006096,0.007677,True,0.046422,61.4635,0.999319,0.00002827,0.0000025373,0.121289,True,1.000000,True,0.151225,True,,
