image,ablation,bpp,payload_bytes,mse,psnr,ssim,kl_divergence,rs_detected,chi2_detected,spa_detected,mean_depth,extraction_verified
smooth_00002.png,edge_only,0.05,122,0.002691,73.8323,0.999960,0.00000054,False,True,True,1.6512,True
smooth_00002.png,edge_only,0.1,245,0.005188,70.9808,0.999923,0.00000165,False,True,True,1.6512,True
smooth_00002.png,edge_only,0.2,491,0.010198,68.0457,0.999850,0.00000494,True,True,True,1.6512,True
smooth_00002.png,edge_only,0.3,737,0.015223,66.3057,0.999776,0.00000868,True,True,True,1.6512,True
smooth_00002.png,edge_only,0.4,982,0.020142,65.0899,0.999703,0.00001416,True,True,True,1.6512,True
smooth_00002.png,no_pressure,0.05,122,0.002741,73.7509,0.999960,0.00000084,False,True,True,1.0353,True
smooth_00002.png,no_pressure,0.1,245,0.005224,70.9511,0.999923,0.00000131,True,True,True,1.0353,True
smooth_00002.png,no_pressure,0.2,491,0.010061,68.1046,0.999852,0.00000315,True,True,True,1.0353,True
smooth_00002.png,no_pressure,0.3,737,0.015106,66.3393,0.999778,0.00000478,True,True,True,1.0353,True
smooth_00002.png,no_pressure,0.4,982,0.019984,65.1240,0.999706,0.00000830,True,True,True,1.0353,True
smooth_00003.png,full_system,0.05,122,0.002579,74.0167,0.999962,0.00000096,False,True,True,1.0214,True
smooth_00003.png,full_system,0.1,245,0.005035,71.1105,0.999926,0.00000209,False,True,True,1.0214,True
smooth_00003.png,full_system,0.2,491,0.009974,68.1420,0.999854,0.00000387,False,True,True,1.0214,True
smooth_00003.png,full_system,0.3,737,0.015025,66.3627,0.999779,0.00000554,False,True,True,1.0214,True
smooth_00003.png,full_system,0.4,982,0.020009,65.1185,0.999706,0.00000621,True,True,True,1.0214,True
smooth_00003.png,entropy_only,0.05,122,0.002803,73.6553,0.999959,0.00000118,False,True,True,1.0000,True
smooth_00003.png,entropy_only,0.1,245,0.005259,70.9216,0.999923,0.00000181,False,True,True,1.0000,True
smooth_00003.png,entropy_only,0.2,491,0.010325,67.9919,0.999848,0.00000441,False,True,True,1.0000,True
smooth_00003.png,entropy_only,0.3,737,0.015233,66.3028,0.999776,0.00000574,False,True,True,1.0000,True
smooth_00003.png,entropy_only,0.4,982,0.020386,65.0375,0.999700,0.00000697,True,True,True,1.0000,True
smooth_00003.png,edge_only,0.05,122,0.002716,73.7914,0.999960,0.00000149,False,True,True,1.6489,True
smooth_00003.png,edge_only,0.1,245,0.005137,71.0236,0.999924,0.00000278,False,True,True,1.6489,True
smooth_00003.png,edge_only,0.2,491,0.010213,68.0392,0.999849,0.00000737,False,True,True,1.6489,True
smooth_00003.png,edge_only,0.3,737,0.015040,66.3583,0.999778,0.00001545,False,True,True,1.6489,True
smooth_00003.png,edge_only,0.4,982,0.020025,65.1152,0.999705,0.00002430,False,True,True,1.6489,True
smooth_00003.png,no_pressure,0.05,122,0.002579,74.0167,0.999962,0.00000096,False,True,True,1.0214,True
smooth_00003.png,no_pressure,0.1,245,0.005035,71.1105,0.999926,0.00000209,False,True,True,1.0214,True
smooth_00003.png,no_pressure,0.2,491,0.009974,68.1420,0.999854,0.00000387,False,True,True,1.0214,True
smooth_00003.png,no_pressure,0.3,737,0.015025,66.3627,0.999779,0.00000554,False,True,True,1.0214,True
smooth_00003.png,no_pressure,0.4,982,0.020009,65.1185,0.999706,0.00000621,True,True,True,1.0214,True
smooth_00004.png,full_system,0.05,122,0.002665,73.8735,0.999961,0.00000054,True,True,True,1.0212,True
smooth_00004.png,full_system,0.1,245,0.005142,71.0193,0.999924,0.00000114,True,True,True,1.0212,True
smooth_00004.png,full_system,0.2,491,0.010061,68.1046,0.999852,0.00000204,True,True,True,1.0212,True
smooth_00004.png,full_system,0.3,737,0.015025,66.3627,0.999779,0.00000308,False,True,True,1.0212,True
smooth_00004.png,full_system,0.4,982,0.019918,65.1384,0.999707,0.00000499,False,True,True,1.0212,True
smooth_00004.png,entropy_only,0.05,122,0.002691,73.8323,0.999960,0.00000059,True,True,True,1.0000,True
smooth_00004.png,entropy_only,0.1,245,0.005086,71.0668,0.999925,0.00000178,True,True,True,1.0000,True
smooth_00004.png,entropy_only,0.2,491,0.010035,68.1155,0.999852,0.00000381,True,True,True,1.0000,True
smooth_00004.png,entropy_only,0.3,737,0.014938,66.3878,0.999780,0.00000410,False,True,True,1.0000,True
smooth_00004.png,entropy_only,0.4,982,0.019974,65.1262,0.999706,0.00000437,False,True,True,1.0000,True
smooth_00004.png,edge_only,0.05,122,0.002660,73.8818,0.999961,0.00000135,True,True,True,1.6555,True
smooth_00004.png,edge_only,0.1,245,0.005274,70.9090,0.999922,0.00000170,True,True,True,1.6555,True
smooth_00004.png,edge_only,0.2,491,0.010279,68.0112,0.999848,0.00000369,True,True,True,1.6555,True
smooth_00004.png,edge_only,0.3,737,0.015340,66.2725,0.999774,0.00000986,True,True,True,1.6555,True
smooth_00004.png,edge_only,0.4,982,0.020411,65.0321,0.999699,0.00001747,False,True,True,1.6555,True
smooth_00004.png,no_pressure,0.05,122,0.002665,73.8735,0.999961,0.00000054,True,True,True,1.0212,True
smooth_00004.png,no_pressure,0.1,245,0.005142,71.0193,0.999924,0.00000114,True,True,True,1.0212,True
smooth_00004.png,no_pressure,0.2,491,0.010061,68.1046,0.999852,0.00000204,True,True,True,1.0212,True
smooth_00004.png,no_pressure,0.3,737,0.015025,66.3627,0.999779,0.00000308,False,True,True,1.0212,True
smooth_00004.png,no_pressure,0.4,982,0.019918,65.1384,0.999707,0.00000499,False,True,True,1.0212,True
smooth_00005.png,full_system,0.05,122,0.002614,73.9572,0.999962,0.00000071,False,True,True,1.0345,True
smooth_00005.png,full_system,0.1,245,0.005051,71.0973,0.999926,0.00000147,False,True,True,1.0345,True
smooth_00005.png,full_system,0.2,491,0.009984,68.1376,0.999853,0.00000317,False,True,True,1.0345,True
smooth_00005.png,full_system,0.3,737,0.014872,66.4070,0.999782,0.00000518,True,True,True,1.0345,True
smooth_00005.png,full_system,0.4,982,0.019801,65.1640,0.999709,0.00000878,True,True,True,1.0345,True
smooth_00005.png,entropy_only,0.05,122,0.002680,73.8487,0.999961,0.00000064,False,True,True,1.0000,True
smooth_00005.png,entropy_only,0.1,245,0.005325,70.8673,0.999922,0.00000124,False,True,True,1.0000,True
smooth_00005.png,entropy_only,0.2,491,0.010239,68.0284,0.999850,0.00000334,False,True,True,1.0000,True
smooth_00005.png,entropy_only,0.3,737,0.015452,66.2409,0.999773,0.00000630,True,True,True,1.0000,True
smooth_00005.png,entropy_only,0.4,982,0.020421,65.0300,0.999700,0.00000877,True,True,True,1.0000,True
smooth_00005.png,edge_only,0.05,122,0.002736,73.7590,0.999960,0.00000059,False,True,True,1.6577,True
smooth_00005.png,edge_only,0.1,245,0.005173,70.9936,0.999924,0.00000119,False,True,True,1.6577,True
smooth_00005.png,edge_only,0.2,491,0.010178,68.0543,0.999850,0.00000273,False,True,True,1.6577,True
smooth_00005.png,edge_only,0.3,737,0.015137,66.3305,0.999777,0.00000603,True,True,True,1.6577,True
smooth_00005.png,edge_only,0.4,982,0.020075,65.1041,0.999704,0.00001280,True,True,True,1.6577,True
smooth_00005.png,no_pressure,0.05,122,0.002614,73.9572,0.999962,0.00000071,False,True,True,1.0345,True
smooth_00005.png,no_pressure,0.1,245,0.005051,71.0973,0.999926,0.00000147,False,True,True,1.0345,True
smooth_00005.png,no_pressure,0.2,491,0.009984,68.1376,0.999853,0.00000317,False,True,True,1.0345,True
smooth_00005.png,no_pressure,0.3,737,0.014872,66.4070,0.999782,0.00000518,True,True,True,1.0345,True
smooth_00005.png,no_pressure,0.4,982,0.019801,65.1640,0.999709,0.00000878,True,True,True,1.0345,True
smooth_00006.png,full_system,0.05,122,0.002528,74.1033,0.999963,0.00000084,False,True,True,1.0208,True
smooth_00006.png,full_system,0.1,245,0.005102,71.0538,0.999925,0.00000168,False,True,True,1.0208,True
smooth_00006.png,full_system,0.2,491,0.010106,68.0848,0.999852,0.00000532,False,True,True,1.0208,True
smooth_00006.png,full_system,0.3,737,0.015101,66.3407,0.999778,0.00000745,False,True,True,1.0208,True
smooth_00006.png,full_system,0.4,982,0.020279,65.0604,0.999702,0.00000988,False,True,True,1.0208,True
smooth_00006.png,entropy_only,0.05,122,0.002680,73.8487,0.999961,0.00000068,True,True,True,1.0000,True
smooth_00006.png,entropy_only,0.1,245,0.005213,70.9596,0.999923,0.00000144,False,True,True,1.0000,True
smooth_00006.png,entropy_only,0.2,491,0.009918,68.1665,0.999854,0.00000259,False,True,True,1.0000,True
smooth_00006.png,entropy_only,0.3,737,0.014999,66.3701,0.999780,0.00000345,False,True,True,1.0000,True
smooth_00006.png,entropy_only,0.4,982,0.019938,65.1340,0.999707,0.00000441,False,True,True,1.0000,True
smooth_00006.png,edge_only,0.05,122,0.002650,73.8984,0.999961,0.00000101,False,True,True,1.6571,True
smooth_00006.png,edge_only,0.1,245,0.005157,71.0064,0.999924,0.00000212,False,True,True,1.6571,True
smooth_00006.png,edge_only,0.2,491,0.010340,67.9854,0.999848,0.00000830,False,True,True,1.6571,True
smooth_00006.png,edge_only,0.3,737,0.015315,66.2797,0.999774,0.00001165,False,True,True,1.6571,True
smooth_00006.png,edge_only,0.4,982,0.020604,64.9912,0.999696,0.00001722,False,True,True,1.6571,True
smooth_00006.png,no_pressure,0.05,122,0.002528,74.1033,0.999963,0.00000084,False,True,True,1.0208,True
smooth_00006.png,no_pressure,0.1,245,0.005102,71.0538,0.999925,0.00000168,False,True,True,1.0208,True
