image_idx,entropy_mae,entropy_max_diff,entropy_rmse,edge_mae,edge_max_diff,edge_rmse,entropy_mae_nostrip,entropy_max_diff_nostrip,edge_mae_nostrip,edge_max_diff_nostrip,depth_mae,pct_pixels_differ,n_pixels,depth_diff_histogram,mean_cover_depth,mean_stego_depth,depth_mae_noise_0.001,pct_differ_noise_0.001,depth_mae_noise_0.005,pct_differ_noise_0.005,depth_mae_noise_0.01,pct_differ_noise_0.01,bpp
10,0.0,0.0,0.0,0.0,0.0,0.0,0.003085813820725166,0.1693795185781557,7.07469534441699e-05,0.004236278504796687,0.0,0.0,65536,{0: 65536},1.447540283203125,1.447540283203125,0.013824462890625,1.3824462890625,0.01885986328125,1.885986328125,0.0255126953125,2.55126953125,0.1
11,0.0,0.0,0.0,0.0,0.0,0.0,0.003576129623866062,0.14897127046721081,5.7996467609332364e-05,0.003404186366234227,0.0,0.0,65536,{0: 65536},1.286956787109375,1.286956787109375,0.007049560546875,0.7049560546875,0.012664794921875,1.2664794921875,0.0190582275390625,1.90582275390625,0.1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0036147030247239316,0.20006651246851703,6.112929250472909e-05,0.0032927373883648355,0.0,0.0,65536,{0: 65536},1.323211669921875,1.323211669921875,0.00701904296875,0.701904296875,0.0119476318359375,1.19476318359375,0.0171356201171875,1.71356201171875,0.1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0029524378189400105,0.13245357134026658,6.736132201735706e-05,0.003867548365528259,0.0,0.0,65536,{0: 65536},1.3920440673828125,1.3920440673828125,0.0077056884765625,0.77056884765625,0.0134735107421875,1.34735107421875,0.0205230712890625,2.05230712890625,0.1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0035954467219934177,0.18129610953323017,6.549230627855986e-05,0.0038750492982063756,0.0,0.0,65536,{0: 65536},1.353302001953125,1.353302001953125,0.0095367431640625,0.95367431640625,0.01409912109375,1.409912109375,0.020416259765625,2.0416259765625,0.1
15,0.0,0.0,0.0,0.0,0.0,0.0,0.004507547791678721,0.23226351035421156,0.00011628157294910855,0.006574548622685444,0.0,0.0,65536,{0: 65536},1.011810302734375,1.011810302734375,0.0025482177734375,0.25482177734375,0.004638671875,0.4638671875,0.006134033203125,0.6134033203125,0.1
16,0.0,0.0,0.0,0.0,0.0,0.0,0.003607299369427122,0.23574732621006866,6.546481864681006e-05,0.003782256833467834,0.0,0.0,65536,{0: 65536},1.4952239990234375,1.4952239990234375,0.0068206787109375,0.68206787109375,0.0121612548828125,1.21612548828125,0.0186309814453125,1.86309814453125,0.1
17,0.0,0.0,0.0,0.0,0.0,0.0,0.003490519886084361,0.17749043043252133,5.6088050621818094e-05,0.0035379438534141328,0.0,0.0,65536,{0: 65536},1.270172119140625,1.270172119140625,0.007476806640625,0.7476806640625,0.0118408203125,1.18408203125,0.01806640625,1.806640625,0.1
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0038558211482643302,0.24489795918367285,5.6360692226194635e-05,0.0031842536473872807,0.0,0.0,65536,{0: 65536},1.354736328125,1.354736328125,0.0060882568359375,0.60882568359375,0.010894775390625,1.0894775390625,0.0172119140625,1.72119140625,0.1
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0032179395796701335,0.14897127046721081,5.021555119324901e-05,0.0030556673629609206,0.0,0.0,65536,{0: 65536},1.265838623046875,1.265838623046875,0.00531005859375,0.531005859375,0.01080322265625,1.080322265625,0.016448974609375,1.6448974609375,0.1
