image,method,bpp,feature_extract_s,fuzzy_infer_s,embed_s,extract_s,total_s,peak_memory_kb
1018.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010634,0.010785,0.021419,7041.8
1018.pgm,Adaptive,0.2,0.209935,0.231445,0.015618,0.016710,0.473709,641092.1
1019.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.011139,0.010508,0.021647,7059.6
1019.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010686,0.010294,0.020980,7041.8
1019.pgm,Adaptive,0.2,0.225811,0.219930,0.015771,0.018717,0.480229,641091.1
102.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010502,0.011220,0.021723,7059.6
102.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010981,0.010962,0.021943,7041.8
102.pgm,Adaptive,0.2,0.246949,0.220243,0.016288,0.020579,0.504059,641091.1
1020.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.011376,0.010793,0.022169,7059.6
1020.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010464,0.010311,0.020775,7041.8
1020.pgm,Adaptive,0.2,0.216846,0.226391,0.015710,0.018586,0.477533,641091.1
1021.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010984,0.011055,0.022039,7059.6
1021.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010504,0.010610,0.021114,7041.8
1021.pgm,Adaptive,0.2,0.225105,0.222239,0.015979,0.018578,0.481901,641091.1
1022.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.011671,0.011283,0.022954,7059.6
1022.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.011336,0.011191,0.022528,7041.8
1022.pgm,Adaptive,0.2,0.216635,0.221448,0.016502,0.019557,0.474143,641091.1
1023.pgm,Fixed-LSB-1,0.2,0.0,0.0,0.010950,0.010838,0.021788,7059.6
1023.pgm,Fixed-LSB-2,0.2,0.0,0.0,0.010692,0.011401,0.022094,7041.8
1023.pgm,Adaptive,0.2,0.223318,0.222672,0.015195,0.018407,0.479592,641091.1
